Depth (cm),Sample ID,Age yrs AD,TP,SSE down,SSE up
0,D1,2001,39.89330341,23.83965686,66.7574901
1,D2,1990,57.17418729,34.62581465,94.40608763
2,D3,1986,81.15214434,48.8990025,134.6790363
3,D4,1983,60.07586048,36.34963045,99.28874013
4,D5,1980,106.9301067,64.68446642,176.7665151
5,D6,1976,109.5721037,63.7529081,188.3215413
6,D7,1973,95.98425536,54.86558321,167.9190622
7,D8,1970,155.3459731,90.59411775,266.3790097
8,D9,1968,155.3102075,86.81604556,277.8433457
9,D10,1965,108.742672,60.84151223,194.3569164
10,D11,1962,62.48848564,36.13266545,108.0687181
11,D12,1958,63.13933449,35.27767866,113.005609
12,D13,1955,20.54470927,7.537025767,56.00154388
13,D14,1950,26.66858665,12.44514612,57.14786367
14,D15,1947,19.50742743,8.319553138,45.7404044
15,D16,1944,17.47833262,6.617592187,46.16363515
16,D17,1941,23.87811283,10.02305238,56.88529308
20,D18,1930,25.26969499,11.15064527,57.2664155
24,D19,1917,15.67111869,5.992389026,40.9826465
28,D20,1905,15.10427903,6.091159895,37.4541547
32,D21,1893,11.13525072,3.867229981,32.06269325
34,D22,1887,16.56914124,7.723248345,35.5467582
40,D23,1874,11.9922314,4.798439241,29.97091486
48,D24,1865,24.88857318,10.84675923,57.10840095
52,D25,1853,11.76250985,4.509205209,30.68315401
56,D26,1840,9.074025596,3.153552025,26.10958687
60,D27,1828,11.55846068,4.512321133,29.60738152
